id,text,metadata
1,"Активация абонентов post-paid производится специалистами ЦПиО вручную (в инвойсе)    Активация абонентов pre-paid производится в результате совершения абонентом голосового вызова на номер 515 или посредством услуги передачи данных. После активации номера, абоненту будут высланы sms следующего содержания Наименование и параметры отправки SMS:Текст SMS: |",5498_Активация абонента
2,"**Наименование и параметры отправки SMS:** | | **Текст SMS:** |
| 1.      Приветствие (в течении 20 мин после активации номера в период с 9:00 – 21:00) | | *«Приветствуем Вас в сети АЛТЕЛ! Номер* *Call**С**entre**888»* |
| 2.      Выбор языка обслуживания (в течении 20 мин после сообщения «Приветствие») | | *«Для выбора языка информационного обслуживания наберите *806#»* 
",5498_Активация абонента
3,| **Дополнительная информация** | Услуга «Информирование новых абонентов после активации номера» предоставляет каждому абоненту  GSM сети возможность получать автоматические информационные SMS после активации абонентского номера  \* После 21:00 ч SMS  абоненту не отправляется. Сообщение будет доставлено утром.   **Данная информация абонентам не предоставляется. | |,5498_Активация абонента
4,"| Для активации номера необходимо выполнить следующие действия:  1. Отделить SIM-карту от пластиковой основы и установить ее в выключенное устройство. Необходимо сохранить пластиковую основу – она содержит PIN- и PUK-коды (под специальным стираемым слоем), необходимые для разблокировки SIM-карты.   2. Включить устройство, ввести код PIN11 и убедиться в том, что индикатор сигнала сети на телефоне стал активным.",5498_Активация абонента
5,"3. Совершить голосовой вызов на номер 515 или воспользоваться услугой передачи данных | |n| **Примечания** | 1 Будьте внимательны, после 3-х неудачных попыток SIM-карта перейдет в режим повышенной безопасности и потребует ввода PUK1. После 10-ti неудачных попыток ввода PUK1 карта полностью блокируется и вы не сможете разблокировать ее самостоятельно.   2 Для активации посредством услуги передачи данных необходимо удостовериться, что в настройках мобильного устройства поле параметра APN (точка доступа) не является пустым. | |",5498_Активация абонента
6,"**В дилерских монобрендовых салонах** полное обслуживание клиентов ведется **с 09:00 утра до 18:00**,  т.к. по такому графику работает супервайзер монобрендового салона (сотрудник Tele2).    **До 20:00** сотрудником дилера обслуживание предоставляется через «**Службу поддержки дилера 614»**.  После 20:00 обслуживания в дилерском салоне нет, т.к. у сотрудников дилера нет программ для предоставления или подключения каких-либо услуг, только продажа номеров.",4358_Адреса офисов продаж
7,"Адреса салонов связи, в которых можно перенести номера по **MNP** можно загрузить ![](/sites/default/files/isokm/information.png)***[здесь](http://km.tele2.kz/fact/4911).***    Адреса**специалистов по ремонту** модемов **Аltel** и **Tele2** — можно ![](/sites/default/files/isokm/information.png)***[посмотреть здесь](http://km.tele2.kz/fact/6687).*** ",4358_Адреса офисов продаж
8,"***Собственный*** — Салон связи, принадлежащий Компании. Собственные салоны производят все процедуры компании.  ***Дилерский*** — Салон связи или точка продаж, которая открыта дилером Компании. Дилерские салоны не работают со служебными и корпоративными номерами и официальными обращениями.  ***Модуль*** — точка продаж, стойка, «островок» в ТЦ, который реализует продукты Компании, но имеет ограниченный функционал услуг.  ***Tele2, ALTEL*** — бренд, по которому предоставляется обслуживание в Салоне связи.  ***Кобренд*** — Салон связи с обслуживанием клиентов обоих брендов — Tele2 и Altel. |",4358_Адреса офисов продаж
9,"![](https://km.tele2.kz/sites/default/files/isokm/km_link_gif.gif)Алматинская область  |  |  |  |  |  | | --- | --- | --- | --- | --- | | **Город** | **Код салона** | **Адрес** | **График работы** | **Тип салона** | | Алматы | AL001 | пр. Достык 19, уг.ул. Богенбай батыра (вход с пр. Достык) |  | Кобренд собственный | | ПН-ПТ: 09:00 — 19:00 | | СБ-ВС: 10:00 — 19:00 | | Алматы | AL016 | ул. Толе би 101, уг. ул. Байтурсынова, БЦ «Толе Би» (бывш. БЦ «Далич») |  ",4358_Адреса офисов продаж
10," ПН-ПТ: 09:00 — 19:00 | | СБ-ВС: 10:00 — 19:00 | | Алматы | AL037 | ул. Панфилова 109 («Арбат», по Панфилова, чуть ниже Гоголя) |  | | ПН-ПТ: 09:00 — 20:00 | | СБ-ВС: 10:00 — 20:00 | | Алматы | AL042 | ул. Желтоксан 115 (бывш. Мира), ТЦ «Kaisar Plaza» |  | | ПН-ПТ: 09:00 — 20:00 | | СБ-ВС: 10:00 — 20:00 | | Алматы | AL051 | ул. Туркебаева 92, ТД «Асыл», уг.ул Толе би, «Тастак» (напротив мечети), вход с ул. Толе би) |  | | ПН-ПТ: 09:00 — 19:00 | | СБ-ВС: 10:00 — 19:00 | | Алматы | AL205 | ул. Абая 109 уг.ул. Ауезова, ТРЦ «Globus» 2 этаж, бутик 38 |  | | ПН-ПТ: 10:00 — 22:00 | | СБ-ВС: 10:00 — 22:00 | | Талдыкорган | AL206 | ул.Тауельсиздик, 50 | ",4358_Адреса офисов продаж
